ANO;MES;TRIMESTRE;RAZON_SOCIAL_anonimizado;ID_anonimizado;FECHA_EMISION;FECHA_VIGENCIA;vigencia_enanos;anos_paraVCMTO;AREA;ESPECIE;AMBITO;TIPO_DERECHO;CATEGORIA_PRODUCTIVA;DEPARTAMENTO;PROVINCIA;DISTRITO;FECHA_CORTE;FECHA_PUB_PNDA
2013;1;1;A1AA0DDCF4C7A847900CE2374E155014BE55F4D8DC09A5A9662F19C3F1D055F5;124455;20130123;20230123;10;-1;0.009;TRUCHA;CONTINENTAL;AUTORIZACION;ACUICULTURA DE RECURSOS LIMITADOS (AREL);CAJAMARCA;CAJAMARCA;NAMORA;20240331;29/04/2024
2016;2;1;A19A20F00148F2ED443ED7696A8573A7E357A242B0D3D2CDBEFD493ECA26CF24;124470;20160224;20310224;15;7;0.58;BOQUICHICO, GAMITANA, PACO, PAICHE, SABALO COLA ROJA;CONTINENTAL;AUTORIZACION;ACUICULTURA DE MICRO Y PEQUEÑA EMPRESA (AMYPE);LORETO;MAYNAS;SAN JUAN BAUTISTA;20240331;29/04/2024
2015;5;2;C79BB6D96D18A8346B8467E8943E3A96E1C7905324E4DD1EE91C20A1EE6AD7E5;124530;20150522;20250522;10;1;0.4;GAMITANA, PACO;CONTINENTAL;AUTORIZACION;ACUICULTURA DE MICRO Y PEQUEÑA EMPRESA (AMYPE);MADRE DE DIOS;TAMBOPATA;INAMBARI;20240331;29/04/2024
2016;1;1;4846199EEF4BC70ED51CF9D04039E3CE1C0A170332BDD346EB0F3364BFAAFE17;124545;20160121;20260121;10;2;1;TRUCHA;CONTINENTAL;CONCESION;ACUICULTURA DE MICRO Y PEQUEÑA EMPRESA (AMYPE);PUNO;LAMPA;SANTA LUCIA;20240331;29/04/2024
2016;1;1;3B344534948805F1D6EDD890855F282C96FD8001B35219C181178F9D10F6E8E3;124560;20160121;20260121;10;2;0.444;TRUCHA;CONTINENTAL;AUTORIZACION;ACUICULTURA DE MICRO Y PEQUEÑA EMPRESA (AMYPE);PUNO;LAMPA;SANTA LUCIA;20240331;29/04/2024
2016;1;1;3E63CBEEF183D77AF8DCDB9DB1EE6DF6DEEBC92A520AFD59EB20D04E59249C4C;124575;20160121;20260121;10;2;0.367;TRUCHA;CONTINENTAL;AUTORIZACION;ACUICULTURA DE MICRO Y PEQUEÑA EMPRESA (AMYPE);PUNO;EL COLLAO;SANTA ROSA;20240331;29/04/2024
2016;1;1;2896D84423887CA136EA5C4DAF4E4C41A6379A99BED741E1CE4C0149C5A5D086;124605;20160122;20260122;10;2;1;TRUCHA;CONTINENTAL;CONCESION;ACUICULTURA DE MICRO Y PEQUEÑA EMPRESA (AMYPE);PUNO;LAMPA;SANTA LUCIA;20240331;29/04/2024
2015;12;4;4F3DCC64CC5595CB0AC7180E39B2F6421CF3DE4FD3E5F00FD360B41623390B29;124725;20151218;20451218;30;21;1;TRUCHA;CONTINENTAL;CONCESION;ACUICULTURA DE MICRO Y PEQUEÑA EMPRESA (AMYPE);PASCO;DANIEL ALCIDES CARRION;SANTA ANA DE TUSI;20240331;29/04/2024
2015;12;4;CB476E4A802A26B88AA3A46BECA1B7F4DA8B9E971CF6EFC479A0C1AE5FAE842D;124770;20151223;20451223;30;21;0.028;TRUCHA;CONTINENTAL;AUTORIZACION;ACUICULTURA DE MICRO Y PEQUEÑA EMPRESA (AMYPE);PASCO;DANIEL ALCIDES CARRION;YANAHUANCA;20240331;29/04/2024
2015;1;1;E59BEE6173F8A6A89BC1549A69BE2403DE2D66BB934C6123156F908DA6952DC2;125070;20150116;20250116;10;1;0.1;BOQUICHICO, GAMITANA, PACO, PAICHE;CONTINENTAL;AUTORIZACION;ACUICULTURA DE RECURSOS LIMITADOS (AREL);UCAYALI;CORONEL PORTILLO;MANANTAY;20240331;29/04/2024
2015;1;1;F3BBC3FE04DE875B5A5CD26156877C032D85A706B1047B0DC6F4FCB90212C845;125085;20150106;20250106;10;1;0.1;BOQUICHICO, GAMITANA, PACO, PAICHE;CONTINENTAL;AUTORIZACION;ACUICULTURA DE RECURSOS LIMITADOS (AREL);UCAYALI;PADRE ABAD;ALEXANDER VON HUMBOLDT;20240331;29/04/2024
2015;1;1;F2C8ED84296E2ED34396D4112B774F9840236989F3B556095C3DE12D409BB53E;125100;20150116;20250116;10;1;0.1;BOQUICHICO, GAMITANA, PACO, PAICHE;CONTINENTAL;AUTORIZACION;ACUICULTURA DE RECURSOS LIMITADOS (AREL);UCAYALI;PADRE ABAD;ALEXANDER VON HUMBOLDT;20240331;29/04/2024
2015;2;1;E82D83C43358E5B095AB8E3852F6321F971C5B0FB36A2CC3AADDBC2C876B696C;125115;20150210;20250210;10;1;0.1;BOQUICHICO, GAMITANA, PACO, PAICHE;CONTINENTAL;AUTORIZACION;ACUICULTURA DE RECURSOS LIMITADOS (AREL);UCAYALI;PADRE ABAD;ALEXANDER VON HUMBOLDT;20240331;29/04/2024
2015;2;1;81A2DE02679C49C3014BA49AD53D979CF1AB21430CF7833BF562D6116D85DBB2;125130;20150210;20250210;10;1;0.1;BOQUICHICO, GAMITANA, PACO, PAICHE;CONTINENTAL;AUTORIZACION;ACUICULTURA DE RECURSOS LIMITADOS (AREL);UCAYALI;PADRE ABAD;IRAZOLA;20240331;29/04/2024
2015;2;1;0E877B01FB7DD761ECE689A70D98B290EA9BC5E9D6B1BED3E087A4416799C549;125265;20150210;20250210;10;1;0.1;PACO, GAMITANA, BOQUICHICO, PAICHE;CONTINENTAL;AUTORIZACION;ACUICULTURA DE RECURSOS LIMITADOS (AREL);UCAYALI;PADRE ABAD;ALEXANDER VON HUMBOLDT;20240331;29/04/2024
2015;2;1;345B04A7CB9BC15B37CB69D2795EF200BEA391594E552CE26C5F44E84DCF17F5;125325;20150210;20250210;10;1;0.1;BOQUICHICO, GAMITANA, PACO, PAICHE;CONTINENTAL;AUTORIZACION;ACUICULTURA DE RECURSOS LIMITADOS (AREL);UCAYALI;PADRE ABAD;ALEXANDER VON HUMBOLDT;20240331;29/04/2024
2015;2;1;85BBC1FECA22B073FEE7C93A4A6C77F433DD07965F60DC48A327BC67D8A59DE1;125355;20150210;20250210;10;1;0.1;BOQUICHICO, GAMITANA, PACO, PAICHE;CONTINENTAL;AUTORIZACION;ACUICULTURA DE RECURSOS LIMITADOS (AREL);UCAYALI;PADRE ABAD;ALEXANDER VON HUMBOLDT;20240331;29/04/2024
2015;2;1;B6BF17C0192555615C27B2261829AE1F62CE3FEF279B9F2A99FD6AF100CF25E6;125445;20150210;20300210;15;6;0.7;BOQUICHICO, GAMITANA, PACO, PAICHE;CONTINENTAL;AUTORIZACION;ACUICULTURA DE MICRO Y PEQUEÑA EMPRESA (AMYPE);UCAYALI;PADRE ABAD;PADRE ABAD;20240331;29/04/2024
2015;2;1;DF1EB521659DD1012CCA096126CC3DE5F65BFD5646A0A21F6D5DA43A25EC3F33;125490;20150213;20250213;10;1;0.1;BOQUICHICO, GAMITANA, PACO, PAICHE;CONTINENTAL;AUTORIZACION;ACUICULTURA DE RECURSOS LIMITADOS (AREL);UCAYALI;PADRE ABAD;ALEXANDER VON HUMBOLDT;20240331;29/04/2024
2015;2;1;B4891F47724A0A9E57C7FBCF6D74A5E400C270349CBAA4C00A19E95577DDBC97;125550;20150213;20250213;10;1;0.276;BOQUICHICO, GAMITANA, PACO, PAICHE;CONTINENTAL;AUTORIZACION;ACUICULTURA DE RECURSOS LIMITADOS (AREL);UCAYALI;CORONEL PORTILLO;MANANTAY;20240331;29/04/2024
2015;2;1;AAD00DD766F8BB36900D1BC34F25C0E60E643836D0FCF5D5A0E08AEEC7CD59E3;125610;20150213;20250213;10;1;2.4;BOQUICHICO, GAMITANA, PACO, PAICHE;CONTINENTAL;AUTORIZACION;ACUICULTURA DE RECURSOS LIMITADOS (AREL);UCAYALI;CORONEL PORTILLO;CALLERIA;20240331;29/04/2024
2015;2;1;A481181BB360E17043F44506797C8B7EF854DE27B3389FF77548726ACD6221B0;125685;20150220;20250220;10;1;0.16;GAMITANA, PACO, BOQUICHICO, PAICHE;CONTINENTAL;AUTORIZACION;ACUICULTURA DE RECURSOS LIMITADOS (AREL);UCAYALI;CORONEL PORTILLO;MANANTAY;20240331;29/04/2024
2015;3;1;FF2589A22527608E5DE4C3B5B38B8E062EFF7AE17A60CBDDACEAE3AECE6B8CC8;125715;20150323;20290323;14;5;1.05;BOQUICHICO, GAMITANA, PACO, PAICHE;CONTINENTAL;AUTORIZACION;ACUICULTURA DE MICRO Y PEQUEÑA EMPRESA (AMYPE);UCAYALI;CORONEL PORTILLO;CAMPOVERDE;20240331;29/04/2024
2015;3;1;5E20AD361D8078B6585AB33702FF25C8530DA0C303CF548A1B48D15F8F98FBAE;125730;20150330;20250330;10;1;0.135;BOQUICHICO, GAMITANA, PACO, PAICHE;CONTINENTAL;AUTORIZACION;ACUICULTURA DE RECURSOS LIMITADOS (AREL);UCAYALI;PADRE ABAD;PADRE ABAD;20240331;29/04/2024
2015;4;2;DCFE644770883327A576975049954E15CF78A4EC104AA4C243F3084DFDE3469B;125745;20150413;20250413;10;1;0.1;BOQUICHICO, GAMITANA, PACO;CONTINENTAL;AUTORIZACION;ACUICULTURA DE RECURSOS LIMITADOS (AREL);UCAYALI;PADRE ABAD;ALEXANDER VON HUMBOLDT;20240331;29/04/2024
2015;4;2;02971E16BFFF1D1A5F0D8819A7D821BFCC755AD593FE7683A49FD0A8FF04BDD8;125760;20150427;20250427;10;1;0.135;BOQUICHICO, GAMITANA, PACO, PAICHE;CONTINENTAL;AUTORIZACION;ACUICULTURA DE RECURSOS LIMITADOS (AREL);UCAYALI;CORONEL PORTILLO;CAMPOVERDE;20240331;29/04/2024
2015;4;2;CAE9330FCD2ED915CC59F40F7CB2EB209B182469F63B4F1A6B4FFB204460733B;125805;20150428;20300428;15;6;0.282;PAICHE;CONTINENTAL;AUTORIZACION;ACUICULTURA DE MICRO Y PEQUEÑA EMPRESA (AMYPE);UCAYALI;CORONEL PORTILLO;CAMPOVERDE;20240331;29/04/2024
2015;4;2;F7F928311FB9D888E7044D766549C52BA41238DDA025A0CBAEA78235CF47FB1D;125835;20150428;20300428;15;6;1.416;GAMITANA, PACO, BOQUICHICO, PAICHE;CONTINENTAL;AUTORIZACION;ACUICULTURA DE MICRO Y PEQUEÑA EMPRESA (AMYPE);UCAYALI;CORONEL PORTILLO;YARINACOCHA;20240331;29/04/2024
2015;5;2;5AC6D4FF595EBC0109B92D5D85412DF89D57877BF4FFDE086B181A7801C3F4DC;125910;20150507;20250507;10;1;0.18;GAMITANA, PACO, BOQUICHICO, PAICHE;CONTINENTAL;AUTORIZACION;ACUICULTURA DE RECURSOS LIMITADOS (AREL);UCAYALI;CORONEL PORTILLO;CAMPOVERDE;20240331;29/04/2024
2015;5;2;18757FD88F35CD8F8A6B2D44667250227A5C481DEE046F2494AACF850A1DA55C;125940;20150529;20250529;10;1;0.165;BOQUICHICO, GAMITANA, PACO, PAICHE;CONTINENTAL;AUTORIZACION;ACUICULTURA DE RECURSOS LIMITADOS (AREL);UCAYALI;PADRE ABAD;PADRE ABAD;20240331;29/04/2024
2015;5;2;7EFBC3181299E212815D198EE811265D924A0325323EE1968B67A7A47441DD4D;125970;20150529;20250529;10;1;0.1;BOQUICHICO, GAMITANA, PACO, PAICHE;CONTINENTAL;AUTORIZACION;ACUICULTURA DE RECURSOS LIMITADOS (AREL);UCAYALI;PADRE ABAD;NESHUYA;20240331;29/04/2024
2015;5;2;F38A9C122F1563B4049B95F220B6AAA882C4B1931001C62CB62609DFF0A94E9C;126015;20150529;20350529;20;11;2.17;BOQUICHICO, GAMITANA, PACO, PAICHE;CONTINENTAL;AUTORIZACION;ACUICULTURA DE MICRO Y PEQUEÑA EMPRESA (AMYPE);UCAYALI;PADRE ABAD;PADRE ABAD;20240331;29/04/2024
2015;5;2;EFB3C7AB8A2E5F6012BFDF48A56AECB477C94724A4DE34DA47AB9A032CAE8805;126060;20150529;20250529;10;1;0.18;GAMITANA, PACO, BOQUICHICO, PAICHE;CONTINENTAL;AUTORIZACION;ACUICULTURA DE RECURSOS LIMITADOS (AREL);UCAYALI;CORONEL PORTILLO;YARINACOCHA;20240331;29/04/2024
2015;7;3;DC69342098413DE40E4CD4A4A15BC5EF25D78482B0687F43661A540FFC7792C1;126075;20150701;20250701;10;1;0.18;GAMITANA, PACO, BOQUICHICO, PAICHE;CONTINENTAL;AUTORIZACION;ACUICULTURA DE RECURSOS LIMITADOS (AREL);UCAYALI;CORONEL PORTILLO;YARINACOCHA;20240331;29/04/2024
2015;7;3;E62708DB5B0915ABF3D23993C5B865541631B5482B6B80155B4000A40B2F9F93;126105;20150701;20300701;15;6;8.6;GAMITANA, PACO, BOQUICHICO, PAICHE;CONTINENTAL;AUTORIZACION;ACUICULTURA DE MICRO Y PEQUEÑA EMPRESA (AMYPE);UCAYALI;CORONEL PORTILLO;CAMPOVERDE;20240331;29/04/2024
2015;7;3;45B4ED77B5C5AE73DFD111610A8C2F400CE957FB9055A4BE33F53F9A683D1588;126135;20150701;20300701;15;6;0.581;GAMITANA, PACO, BOQUICHICO, PAICHE;CONTINENTAL;AUTORIZACION;ACUICULTURA DE MICRO Y PEQUEÑA EMPRESA (AMYPE);UCAYALI;CORONEL PORTILLO;MANANTAY;20240331;29/04/2024
2015;7;3;94A220E45487691CAA6D0A6D07D43BECEE41CB75204C9B77DA44E007EAB2284C;126195;20150701;20300701;15;6;0.271;BOQUICHICO, GAMITANA, PACO, PAICHE;CONTINENTAL;AUTORIZACION;ACUICULTURA DE MICRO Y PEQUEÑA EMPRESA (AMYPE);UCAYALI;CORONEL PORTILLO;CAMPOVERDE;20240331;29/04/2024
2015;7;3;69FCC745F2FD09E4DE2EE49E301E7D4D73E37D7150FC2127BCC661BAC3450E4D;126210;20150706;20250706;10;1;0.777;BOQUICHICO, GAMITANA, PACO, PAICHE;CONTINENTAL;AUTORIZACION;ACUICULTURA DE RECURSOS LIMITADOS (AREL);UCAYALI;PADRE ABAD;ALEXANDER VON HUMBOLDT;20240331;29/04/2024
2015;7;3;E33F31FDDB992DD42B524ACAAB12AEBFFE875FD4DE45ED9BAA002722C6F87F9D;126270;20150715;20350715;20;11;1.261;GAMITANA, PACO, BOQUICHICO, PAICHE;CONTINENTAL;AUTORIZACION;ACUICULTURA DE MICRO Y PEQUEÑA EMPRESA (AMYPE);UCAYALI;CORONEL PORTILLO;YARINACOCHA;20240331;29/04/2024
2012;8;3;8951616BBE49530F9CD403F582474F460148CD3E7C9987F825666CBF33FC3FDD;126765;20120822;20270822;15;3;0.303;CAMARON, GAMITANA, PACO, TILAPIA;CONTINENTAL;AUTORIZACION;ACUICULTURA DE MICRO Y PEQUEÑA EMPRESA (AMYPE);SAN MARTIN;SAN MARTIN;MORALES;20240331;29/04/2024
2012;8;3;71BE6B2D4F7A8066E3D441733561BD6B4FA97B59588B1C2142158909F7EFEC81;126780;20120822;20420822;30;18;0.303;GAMITANA, PACO, TILAPIA;CONTINENTAL;AUTORIZACION;ACUICULTURA DE MICRO Y PEQUEÑA EMPRESA (AMYPE);SAN MARTIN;MOYOBAMBA;JEPELACIO;20240331;29/04/2024
2012;8;3;C82CBDE8FD49689CC3F54D20F1307BA4C11B636C09A5884BE6B6BFC52F90965C;126795;20120822;20420822;30;18;0.9818;BOQUICHICO, GAMITANA, PACO, PAICHE, TILAPIA;CONTINENTAL;AUTORIZACION;ACUICULTURA DE MICRO Y PEQUEÑA EMPRESA (AMYPE);SAN MARTIN;MOYOBAMBA;MOYOBAMBA;20240331;29/04/2024
2012;8;3;FB1D752D8CECB5CD11B1098B3F528F575942A39E2191E5BF806F69DD7043BFB2;126825;20120808;20420808;30;18;1.2937;BOQUICHICO, CARPA, GAMITANA, PACO, TILAPIA;CONTINENTAL;AUTORIZACION;ACUICULTURA DE MICRO Y PEQUEÑA EMPRESA (AMYPE);SAN MARTIN;MOYOBAMBA;MOYOBAMBA;20240331;29/04/2024
2012;8;3;E8AED8C899805DF7EFF95CF35F9FE9D7A5AD391332029D7383AFF55AE70D1583;126870;20120808;20270808;15;3;0.008;TRUCHA;CONTINENTAL;AUTORIZACION;ACUICULTURA DE MICRO Y PEQUEÑA EMPRESA (AMYPE);LA LIBERTAD;SANCHEZ CARRION;HUAMACHUCO;20240331;29/04/2024
2012;8;3;E8AED8C899805DF7EFF95CF35F9FE9D7A5AD391332029D7383AFF55AE70D1583;126885;20120808;20270808;15;3;1;TRUCHA;CONTINENTAL;CONCESION;ACUICULTURA DE MICRO Y PEQUEÑA EMPRESA (AMYPE);LA LIBERTAD;SANCHEZ CARRION;HUAMACHUCO;20240331;29/04/2024
2016;3;1;2C80C92FAE6832999FC5CD08190D2737B8247C6F209582651B8092DC44620840;126915;20160316;20460316;30;22;1.6572;TILAPIA, GAMITANA, PACO, PAICHE;CONTINENTAL;AUTORIZACION;ACUICULTURA DE MICRO Y PEQUEÑA EMPRESA (AMYPE);SAN MARTIN;MOYOBAMBA;MOYOBAMBA;20240331;29/04/2024
2016;3;1;CFD8C31BFE8D88EE97F7ED8ED01B70531709386738FA57FC57CE520B3C8C402B;126930;20160316;20460316;30;22;1.72;BOQUICHICO, CAMARON GIGANTE, GAMITANA, PACO, PAICHE, TILAPIA DEL NILO;CONTINENTAL;AUTORIZACION;ACUICULTURA DE MICRO Y PEQUEÑA EMPRESA (AMYPE);SAN MARTIN;LAMAS;TABALOSOS;20240331;29/04/2024
2015;1;1;8A1F57CFF43843F243562AF1A441BA03F057EC4DAF51BC80B665CC8BCBB7ED9C;126975;20150114;20250114;10;1;0.0247;TRUCHA;CONTINENTAL;AUTORIZACION;ACUICULTURA DE MICRO Y PEQUEÑA EMPRESA (AMYPE);CAJAMARCA;CAJAMARCA;ENCAÑADA;20240331;29/04/2024
2010;11;4;615773E39EC01263869F6CC69F91510ABF423FD03BCDDD4216ABFF88B2D70E39;127050;20101130;20401130;30;16;1.48;BOQUICHICO, GAMITANA, PACO, PAICHE;CONTINENTAL;AUTORIZACION;ACUICULTURA DE MICRO Y PEQUEÑA EMPRESA (AMYPE);UCAYALI;CORONEL PORTILLO;CALLERIA;20240331;29/04/2024
2015;3;1;339E7BB982B3B060BA3BED9ABF56F106E272F49EB39FE7D8F6597A306C87775E;127170;20150302;20450302;30;21;0.0422;TRUCHA;CONTINENTAL;AUTORIZACION;ACUICULTURA DE MICRO Y PEQUEÑA EMPRESA (AMYPE);CAJAMARCA;HUALGAYOC;BAMBAMARCA;20240331;29/04/2024
2015;3;1;53B475387F3E3A475F126E2010A1326922E90AD300FE576886B49F731903525B;127185;20150311;20250311;10;1;0.0334;TRUCHA;CONTINENTAL;AUTORIZACION;ACUICULTURA DE MICRO Y PEQUEÑA EMPRESA (AMYPE);CAJAMARCA;CELENDIN;SOROCHUCO;20240331;29/04/2024
2015;3;1;B240B6BF830780158F763FE8126212D43B26168EFC0DAD12F1540FB88F8AC6C2;127200;20150311;20250311;10;1;0.022;TRUCHA;CONTINENTAL;AUTORIZACION;ACUICULTURA DE RECURSOS LIMITADOS (AREL);CAJAMARCA;HUALGAYOC;BAMBAMARCA;20240331;29/04/2024
2015;6;2;6AC42EB7FB784F3ED39293402BF8EDB329078D293A02195B572BC77BFD418160;127215;20150616;20450616;30;21;1;TRUCHA;CONTINENTAL;CONCESION;ACUICULTURA DE MICRO Y PEQUEÑA EMPRESA (AMYPE);CAJAMARCA;CAJAMARCA;ENCAÑADA;20240331;29/04/2024
2016;2;1;79C7C556C28AEDD4A9CF7C83498B08D73EE0AE5A3B8CD77956855E81325B4AAF;127245;20160217;20260217;10;2;1;TRUCHA;CONTINENTAL;AUTORIZACION;ACUICULTURA DE MICRO Y PEQUEÑA EMPRESA (AMYPE);PUNO;EL COLLAO;CONDURIRI;20240331;29/04/2024
2016;3;1;0455CD840638B089FD4B66A2D59436928F1AD00AAD90A70060FF1960E885BA32;127260;20160309;20260309;10;2;0.66;TRUCHA;CONTINENTAL;AUTORIZACION;ACUICULTURA DE MICRO Y PEQUEÑA EMPRESA (AMYPE);PUNO;LAMPA;SANTA LUCIA;20240331;29/04/2024
2016;3;1;0455CD840638B089FD4B66A2D59436928F1AD00AAD90A70060FF1960E885BA32;127275;20160316;20260316;10;2;1;TRUCHA;CONTINENTAL;CONCESION;ACUICULTURA DE MICRO Y PEQUEÑA EMPRESA (AMYPE);PUNO;LAMPA;SANTA LUCIA;20240331;29/04/2024
2016;3;1;B313307293C8108C7EF9D0B72825F81BA65D9EBC52D47C300015E31EF102BD89;127290;20160318;20260318;10;2;15.9;TRUCHA;CONTINENTAL;AUTORIZACION;ACUICULTURA DE MICRO Y PEQUEÑA EMPRESA (AMYPE);PUNO;CARABAYA;SAN GABAN;20240331;29/04/2024
2016;3;1;E76B980B05FBDCF407482C2BB099F22BF861F9D1FE4B12238AF924430461CBCA;127305;20160318;20260318;10;2;5.5;TRUCHA;CONTINENTAL;AUTORIZACION;ACUICULTURA DE MICRO Y PEQUEÑA EMPRESA (AMYPE);PUNO;SAN ROMAN;CABANA;20240331;29/04/2024
2012;11;4;C5EDA50D0AC18C58BA2B147703EB0BAAD324D6DED8CAC90064997367A86CF874;127365;20121119;20271119;15;3;0.55;BOQUICHICO, GAMITANA, PACO, PAICHE;CONTINENTAL;AUTORIZACION;ACUICULTURA DE MICRO Y PEQUEÑA EMPRESA (AMYPE);UCAYALI;CORONEL PORTILLO;CAMPOVERDE;20240331;29/04/2024
2014;11;4;3705F351A0AB99B12A259A3F90194FCC1CF1143DEE899F9C8FCBA50FB2E73997;127425;20141127;20241127;10;0;0.1;BOQUICHICO, GAMITANA, PACO, PAICHE;CONTINENTAL;AUTORIZACION;ACUICULTURA DE RECURSOS LIMITADOS (AREL);UCAYALI;PADRE ABAD;NESHUYA;20240331;29/04/2024
2014;11;4;A593BBCCF725F347E42D72D02D32AFF571092E4BDD01E0611B2B3EB854470D2B;127440;20141127;20241127;10;0;0;BOQUICHICO, GAMITANA, PACO, PAICHE;CONTINENTAL;AUTORIZACION;ACUICULTURA DE RECURSOS LIMITADOS (AREL);UCAYALI;PADRE ABAD;NESHUYA;20240331;29/04/2024
2016;3;1;84C50E97995ABE0EC6F3A79A86FCEA62E30FAA4FF13168B24FA29FC47B6879ED;127500;20160318;20260318;10;2;1;TRUCHA;CONTINENTAL;CONCESION;ACUICULTURA DE MICRO Y PEQUEÑA EMPRESA (AMYPE);PUNO;LAMPA;SANTA LUCIA;20240331;29/04/2024
2016;3;1;8FC056A27344A7C223990BE91969DC1B1D7DE498CB3282BE69B229F0DA7E69DA;127515;20160328;20260328;10;2;0.55;TRUCHA;CONTINENTAL;CONCESION;ACUICULTURA DE MICRO Y PEQUEÑA EMPRESA (AMYPE);PUNO;YUNGUYO;YUNGUYO;20240331;29/04/2024
2013;5;2;83580D07F099B38AD5C96D1B82501066B3EA4C927CED5E5D82EBD242FC96FF35;127545;20130509;20330509;20;9;0.0625;GAMITANA, PACO;CONTINENTAL;AUTORIZACION;ACUICULTURA DE RECURSOS LIMITADOS (AREL);MADRE DE DIOS;TAMBOPATA;LAS PIEDRAS;20240331;29/04/2024
2013;5;2;951957AF2625421CC748BC8CDC0B04121DF9E8FAE3BCA5D328D2668A5517378C;127560;20130509;20330509;20;9;0.3;GAMITANA, PACO;CONTINENTAL;AUTORIZACION;ACUICULTURA DE RECURSOS LIMITADOS (AREL);MADRE DE DIOS;TAMBOPATA;LAS PIEDRAS;20240331;29/04/2024
2016;3;1;25D05836E3F90E460208C8DA8C056FF81412DAB1A9F3B1BF26D61D20CFED7BEB;127575;20160328;20260328;10;2;0.262;TRUCHA;CONTINENTAL;CONCESION;ACUICULTURA DE MICRO Y PEQUEÑA EMPRESA (AMYPE);PUNO;YUNGUYO;YUNGUYO;20240331;29/04/2024
